claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,7,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.0512108010527516,0.0115132194747608
4,paper,8,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05663752016396763,0.012245379764419232
4,paper,9,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.06165225792220676,0.013522593690934446
4,paper,10,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.06347762891296797,0.013867311940745105
4,paper,11,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05276807036511808,0.01172348920859813
4,paper,12,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05985849027573139,0.012885800454264039
4,paper,13,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05834343803709071,0.013032853370349264
4,paper,14,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.0620629482189594,0.013593661919893004
4,paper,15,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05527526547777729,0.01248249113366603
4,paper,0,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09218136737490315,0.02130798763769799
4,paper,1,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10415778825324368,0.023771494520696202
4,paper,2,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.1063175245524437,0.02385627966337558
4,paper,3,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10926227202532038,0.025214269031897916
4,paper,4,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09567846169022173,0.022364086904485297
4,paper,5,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10872251334558468,0.024493168737942907
4,paper,6,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09115053883151406,0.021220216642013283
4,paper,7,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.0948809558283251,0.02181223708328818
4,paper,8,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10558116518440969,0.024090834190391375
4,paper,9,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10219467419608377,0.023105024760595377
4,paper,10,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09770340035589989,0.022222415333884735
4,paper,11,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10846473792277889,0.024169274700924923
4,paper,12,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10958142042345875,0.024461788019136725
4,paper,13,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09223057231404616,0.02119225633366263
4,paper,14,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.09686873201991422,0.022781852209366626
4,paper,15,9570063305437465428,32,4,256,0.019686266404607397,0.019686266404607397,0.003480073117735701,3,0.10143379431801049,0.023127583718176224
4,paper,0,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.07234112669205228,0.016476561491587313
4,paper,1,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.08873674532055706,0.019938753104526474
4,paper,2,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.06675206413620598,0.015507239215133077
4,paper,3,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.08072064047337259,0.018046447347987948
4,paper,4,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.07716855711985826,0.017547906065905644
4,paper,5,13210321979376459101,32,4,512,0.012401570718501561,0.012401570718501561,0.0021923086881042446,4,0.07561074387808094,0.017756332369558276
